"","Site","Plot","Corral","Treatment","AVEmaxTemp","AVEminTemp","Eggs.In","Eggs.Out","TwoDaySurvival","meanTemp","maxTemp","minTemp"
"1","D3N","F",6,"Shade",26.1666666666667,20.1666666666667,27,23,0.851851852,22.125,27,19.5
"2","D3N","G",4,"Control",28.5,20.1666666666667,25,23,0.92,22.86458,30.5,19.5
"3","D3N","G",5,"OTW",27,20.3333333333333,25,23,0.92,22.48958,28.5,19.5
"4","D3N","G",6,"Shade",28.3333333333333,20.1666666666667,25,21,0.84,22.4375,30,19.5
"5","D3N","I",4,"Control",27,20.3333333333333,20,18,0.9,22.45833,30.5,19.5
"6","D3N","I",5,"OTW",28.3333333333333,20.3333333333333,10,8,0.8,22.75,30.5,19.5
"7","D3S","B",1,"Control",26.1666666666667,19.8333333333333,9,7,0.777777778,22.42708,27.5,19
"8","D3S","B",2,"Shade",29,21.6666666666667,21,21,1,24.29167,31,20.5
"9","D3S","B",5,"OTW",31.1666666666667,21.1666666666667,20,20,1,24.57292,33.5,20
"10","D3S","D",1,"Shade",26.1666666666667,20.5,27,25,0.925925926,22.95833,27,19.5
"11","D3S","D",4,"OTW",33.5,20.8333333333333,6,6,1,24.9375,38.5,19.5
"12","D3S","D",6,"Control",32.6666666666667,20.3333333333333,31,29,0.935483871,23.97917,35,20
"13","D3S","E",1,"Shade",27.5,19.6666666666667,14,14,1,22.08333,28.5,19
"14","D3S","E",5,"OTW",28.8333333333333,19.5,20,16,0.8,23.10417,30.5,19
"15","D3S","E",6,"Control",27,22.1666666666667,17,15,0.882352941,24.09375,31.5,21.5
"16","M2","C",2,"Control",33,21,14,14,1,24.79787,37,20
"17","M2","C",3,"OTW",33.3333333333333,21,23,18,0.782608696,25.51042,34.5,20
"18","M2","C",4,"Shade",31.8333333333333,21.5,22,22,1,25.55208,34,20.5
"19","M2","D",1,"Control",29,22,21,21,1,24.62766,32.5,21
"20","M2","D",2,"Shade",28.5,22.6666666666667,18,18,1,25.28125,31.5,22
"21","M2","D",5,"OTW",33.3333333333333,21.3333333333333,19,19,1,24.8125,35,20.5
"22","M2","E",3,"OTW",30,23,15,14,0.933333333,25.83333,34,22
"23","M2","E",4,"Shade",28.6666666666667,22.6666666666667,26,23,0.884615385,25.05208,32.5,22
"24","M2","E",5,"Control",30.8333333333333,22.5,18,18,1,25.88542,34.5,21.5
