"","Site","Plot","Corral","Treatment","AVEmaxTemp","AVEminTemp","meanTemp","maxTemp","minTemp","Larvae.In","Larvae.Out","perEmerged","AveTimeAsLarva"
"1","D3N","G",4,"Control",21.7692307692308,6.45022624434389,12.41987,37.5,-10,32,0,0,NA
"2","D3N","I",4,"Control",23.2236286919831,6.87130801687764,12.7629,37,-9.5,11,1,0.09,236
"3","D3N","I",5,"OTW",22.3778801843318,6.35483870967742,12.35728,34,-8.5,4,0,0,NA
"4","D3S","B",2,"Shade",19.3125,7.46990740740741,12.09915,32.5,-8,21,1,0.05,NA
"5","D3S","B",5,"OTW",20.2510822510823,8.31168831168831,12.93146,36,-9,20,5,0.25,230
"6","D3S","D",1,"Shade",19.8108695652174,7.40869565217391,12.57731,35,-9.5,7,3,0.43,230
"7","D3S","D",4,"OTW",23.9337606837607,8.1025641025641,13.6874,38,-7.5,7,0,0,NA
"8","D3S","D",6,"Control",20.5072115384615,7.36298076923077,12.36793,34,-9,6,1,0.17,237
"9","D3S","E",5,"OTW",20.7356828193833,6.89867841409692,12.27436,37.5,-8.5,7,2,0.29,227
"10","D3S","E",6,"Control",20.5726141078838,8.40663900414938,13.21676,34.5,-7,6,4,0.67,241
"11","M2","C",2,"Control",19.6476793248945,7.86708860759494,12.66952,34.5,-8.5,14,7,0.5,242
"12","M2","C",3,"OTW",22.10625,8.55,13.92337,36,-8,23,1,0.04,NA
"13","M2","C",4,"Shade",20.7208333333333,8.37708333333333,13.5,32.5,-9,22,0,0,NA
"14","M2","D",1,"Control",19.507874015748,8.79527559055118,13.29415,33,-9,21,15,0.71,253
"15","M2","D",2,"Shade",19.4279661016949,9.0656779661017,13.25235,31,-8,18,2,0.11,236
"16","M2","D",5,"OTW",21.1770833333333,8.45833333333333,13.13877,38,-6.5,19,0,0,NA
"17","M2","E",3,"OTW",19.9625,8.7875,13.275,34,-6.5,13,11,0.85,240
"18","M2","E",4,"Shade",18.603515625,9,13.00818,31.5,-8,20,6,0.3,255
"19","M2","E",5,"Control",22.3803418803419,8.26495726495727,13.43885,35,-9.5,11,1,0.09,233
