"","Site","Plot","Corral","AVEmaxTemp","AVEminTemp","Treatment","meanTemp","maxTemp","minTemp","Eggs.In","Eggs.Out","TwoDaySurvival"
"1","D3S","B",1,25.3333333333333,14.8333333333333,"Control",18.38542,27.5,13,23,19,0.826086957
"2","D3S","B",5,30,18,"OTW",21.65625,32,15,6,5,0.833333333
"3","D3S","D",1,33,17.3333333333333,"Shade",23.09375,33.5,15.5,15,10,0.666666667
"4","D3S","D",4,28,17.1666666666667,"OTW",21.82292,30,15.5,21,21,1
"5","D3S","E",3,29.5,17.6666666666667,"Shade",21.86458,30,16,12,12,1
"6","D3S","E",5,30.3333333333333,20.6666666666667,"Control",24.03191,31.5,19.5,32,31,0.96875
"7","D3S","E",6,31.5,18.8333333333333,"OTW",23.44792,32,17.5,15,14,0.933333333
"8","M2","C",2,24.3333333333333,18.1666666666667,"Control",20.76042,25.5,16.5,28,28,1
"9","M2","C",3,32.1666666666667,19.8333333333333,"OTW",24.28125,34.5,18.5,10,9,0.9
"10","M2","C",4,28.8333333333333,19.5,"Shade",23.19792,32,18.5,34,26,0.764705882
"11","M2","D",2,30.6666666666667,18.8333333333333,"Shade",22.90625,31.5,17.5,15,13,0.866666667
"12","M2","D",3,28.3333333333333,19,"Control",23.02083,30.5,18.5,25,22,0.88
"13","M2","D",5,32,19.5,"OTW",24.16667,40,19,5,5,1
"14","M2","E",3,28.6666666666667,17.1666666666667,"OTW",21.46875,34,16,9,9,1
"15","M2","E",5,29.3333333333333,16.6666666666667,"Control",20.85417,31.5,14.5,15,15,1
"16","M2","E",6,23.8333333333333,17.1666666666667,"Shade",19.96875,27,15.5,7,6,0.857142857
