"","Site","Plot","Corral","AVEmaxTemp","AVEminTemp","Treatment","meanTemp","maxTemp","minTemp","Larvae.In","Larvae.Out","perEmerged","AveTimeAsLarva"
"1","D3S","B",1,31.0227272727273,19.7727272727273,"Control",23.76195,34.5,13,13,0,0,NA
"2","D3S","B",2,30.3095238095238,20.5238095238095,"Shade",23.77615,33,13.5,13,0,0,NA
"3","D3S","D",1,32.3148148148148,20.7962962962963,"Shade",24.94614,35.5,14,1,1,1,26
"4","D3S","E",3,30.7727272727273,20.4545454545455,"Shade",23.99402,35,14,2,0,0,NA
"5","D3S","E",5,34.258064516129,19.9516129032258,"Control",24.83565,39.5,13,22,0,0,NA
"6","D3S","E",6,33.5,19,"OTW",24.31916,38,12,7,0,0,NA
"7","M2","C",2,33.3947368421053,19.5657894736842,"Control",24.33296,40,13.5,8,0,0,NA
"8","M2","C",3,32.8970588235294,19.7058823529412,"OTW",24.13861,38,14,2,1,0.5,NA
"9","M2","D",2,30.5357142857143,19.6071428571429,"Shade",23.75713,36,14,5,0,0,NA
"10","M2","D",3,29.7560975609756,19.1951219512195,"Control",23.43894,34.5,13.5,14,7,0.5,40
"11","M2","E",3,32.3913043478261,19.6739130434783,"OTW",23.89518,38.5,14.5,3,1,0.333333333,45
